0,0,0,0,0,0,0,0,0,0,0,12294,0,0,0,12490,0,12817,12660,0,0,0,0,0,0,0,0,0,0,0,0,0,12183,0,12813,0,0,0,0,0
0,0,12242,0,0,0,0,0,0,12895,12194,0,12778,12095,0,0,12941,0,12506,0,0,0,0,0,0,12277,0,0,0,12730,0,0,12251,0,0,0,0,0,0,0
0,12242,0,0,12388,0,0,0,0,0,0,0,0,0,0,0,12720,12321,0,0,0,0,0,0,12672,0,0,0,0,0,0,0,12756,0,0,12298,0,12048,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12012,0,0,12617,0,0,12300,12870,0,0,0,12600,0,0,0,0,0
0,0,12388,0,0,0,12512,12679,0,0,0,0,12562,12015,0,0,12674,0,0,12900,0,0,0,0,0,12979,0,0,0,0,0,12964,12265,0,0,0,0,0,0,12409
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12310,12667,0,0,0,0,0,0,0,0,0,0,0,0,12060,0,0,0,0,0,12080,0,0,0,0
0,0,0,0,12512,0,0,12524,0,0,0,0,0,0,12318,0,0,0,12149,0,0,0,0,0,12285,0,0,0,0,0,12570,0,0,0,0,0,0,12220,0,12234
0,0,0,0,12679,0,12524,0,0,0,12313,0,0,0,12130,12280,0,0,0,0,12966,0,0,12377,0,0,0,0,0,0,0,0,12067,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,12018,0,0,0,12444,0,0,0,12194,0,0,12720,0,0,0,0,0,0,0,0,12582,0,0,0,0,12571,12240,0,12433,0
0,12895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12194,0,0,0,0,0,12313,12018,0,0,12141,0,12144,0,0,0,0,12952,0,0,12865,0,0,12640,0,0,0,0,0,0,0,12544,0,12343,12316,0,0,0,0
12294,0,0,0,0,0,0,0,0,0,12141,0,0,0,0,12823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12863,12817,0,0,0,12011,0
0,12778,0,0,12562,0,0,0,0,0,0,0,0,0,12412,0,0,0,0,0,12254,12955,0,0,12987,0,0,12860,0,0,0,0,0,0,0,0,12571,0,12435,0
0,12095,0,0,12015,0,0,0,0,0,12144,0,0,0,0,12582,0,0,12281,0,0,0,0,12106,0,0,0,0,12779,12747,0,0,0,12791,0,0,0,0,12327,12140
0,0,0,0,0,0,12318,12130,12444,0,0,0,12412,0,0,0,0,12800,0,0,0,0,0,0,0,12016,0,0,0,0,0,0,0,0,0,12510,0,0,0,0
12490,0,0,0,0,12310,0,12280,0,0,0,12823,0,12582,0,0,0,0,0,12480,0,0,0,0,12419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12881
0,12941,12720,0,12674,12667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12667,0,0,12167,0,0,0,12286,0,0,12982,12752,0,12373,0,0,0,0,12179,0
